essential,class,complex,phenotype,chromosome,CELL GROWTH CELL DIVISION AND DNA SYNTHESIS,CELL RESCUE DEFENSE CELL DEATH AND AGEING,CELLULAR BIOGENESIS,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,CELLULAR ORGANIZATION,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,ENERGY,IONIC HOMEOSTASIS,METABOLISM,PROTEIN DESTINATION,PROTEIN SYNTHESIS,TRANSCRIPTION,TRANSPORT FACILITATION,localization,aantal_correlaties,genetic,physical,genetic-physical,gem_correlatie
G234642,Non-Essential,ATPases,"H+-transporting ATPase vacuolar",Conditional phenotypes,11,False,False,False,False,True,True,False,True,False,True,False,False,True,vacuole,1,1,0,0,0.700201543
G235459,?,?,Translation complexes,?,8,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G235132,?,?,Translation complexes,Conditional phenotypes,2,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G239640,Non-Essential,?,?,?,7,False,False,False,False,True,False,False,False,True,True,False,False,False,golgi,0,0,0,0,None
G234907,Non-Essential,Histones,?,?,15,False,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G234575,Non-Essential,Transcription factors,?,?,10,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G237123,Essential,?,?,?,4,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.692046955
G235235,Essential,?,Translocon,?,4,False,False,False,False,True,True,False,False,False,True,False,False,True,ER,0,0,0,0,None
G235331,Non-Essential,?,Translation complexes,?,5,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,1,0,0.946683516
G234139,Non-Essential,Transcription factors,?,?,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.3529299405
G235329,Essential,?,RNA processing complexes,?,5,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,7,0,7,0,0.6034195665714286
G234756,Non-Essential,Molecular chaperones,?,"Auxotrophies carbon and",12,True,True,False,False,True,False,False,True,False,True,False,False,False,mitochondria,1,1,0,0,0.68881478
G234860,Non-Essential,GTP-binding proteins,?,Conditional phenotypes,14,True,True,False,True,True,False,False,False,True,False,False,False,False,plasma membrane,2,0,2,0,0.3354196075
G234276,Non-Essential,Histones,Nucleosomal protein complex,Mating and sporulation defects,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234445,Non-Essential,Transcription factors,?,?,7,False,True,False,False,True,False,False,False,True,False,False,True,False,nucleus,3,0,3,0,0.6528791383333333
G235529,Essential,?,Mitochondrial translocase complex,?,10,False,False,False,False,True,True,False,False,False,True,False,False,True,mitochondria,3,0,3,0,0.6650610236666666
G238793,Essential,?,?,Nucleic acid metabolism defects,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.677908787
G235462,Essential,?,Transcription complexes/Transcriptosome,?,8,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.690027221
G235572,Essential,?,Kinetochore protein complexes,Cell cycle defects,11,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,2,0,0,0.120036434
G235853,Essential,?,RNA processing complexes,?,15,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.780336674
G235897,Non-Essential,?,Translation complexes,?,16,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G237760,Non-Essential,?,?,Conditional phenotypes,4,True,False,False,False,True,False,False,False,True,True,False,False,False,ER,2,2,0,0,None
G234994,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,Cell morphology and organelle mutants,15,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.536899911
G235718,Essential,?,Kinetochore protein complexes,Cell cycle defects,13,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,1,1,0,0.086485777
G235508,Essential,?,RNA processing complexes,?,9,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234270,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,4,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,2,0,2,0,0.2596634675
G236954,Essential,?,?,Conditional phenotypes,10,True,False,False,True,True,False,False,False,True,False,False,False,False,plasma membrane,2,1,1,0,0.22771449649999997
G237021,Essential,?,?,Cell cycle defects,14,False,False,True,False,True,True,False,False,False,True,False,False,False,nucleus,13,2,9,2,0.5084530526923078
G237661,?,?,?,?,4,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G234829,Non-Essential,Polymerases,?,"Auxotrophies carbon and",13,True,False,False,False,True,False,False,False,False,False,False,True,False,mitochondria,0,0,0,0,None
G234591,Non-Essential,Protein Kinases,?,Conditional phenotypes,10,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,1,0,1,0,0.301378981
G234993,Non-Essential,Protein Kinases,?,Mating and sporulation defects,15,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.701719773
G235995,Non-Essential,?,?,Cell morphology and organelle mutants,1,False,False,False,False,True,False,False,False,True,True,False,False,False,ER,2,2,0,0,0.8698767805000001
G234446,Non-Essential,ATPases,"H+-transporting ATPase vacuolar",?,7,False,False,False,False,True,True,False,True,False,False,False,False,True,vacuole,1,0,1,0,0.348400604
G235344,Essential,?,Nuclear pore complex (NPC),Conditional phenotypes,6,False,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,3,1,2,0,0.5616280476666667
G234949,Non-Essential,GTP-binding proteins,Translation complexes,Sensitivity to aminoacid analogs and other drugs,15,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,1,0,0,0.972494716
G234093,Non-Essential,Motorproteins,Cytoskeleton,?,2,True,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,2,1,1,0,0.287294485
G238935,Non-Essential,?,?,Carbohydrate and lipid biosynthesis defects,2,False,False,False,False,True,False,False,False,True,True,False,False,False,ER,1,1,0,0,0.581089536
G234317,Non-Essential,Protein Kinases,?,Cell morphology and organelle mutants,4,True,False,False,False,False,False,False,False,False,False,False,False,False,cytoskeleton,3,0,2,1,0.385382767
G235832,Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,15,False,False,False,False,True,True,False,False,False,True,False,False,False,vacuole,3,0,3,0,0.4204175423333334
G235914,Non-Essential,?,RNA processing complexes,Conditional phenotypes,16,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G236325,Non-Essential,?,?,?,2,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,None
G236589,Essential,?,?,"Auxotrophies carbon and",7,False,False,False,False,True,False,True,False,False,True,False,False,False,mitochondria,1,1,0,0,0.820954204
G235467,Non-Essential,?,Nonsense-mediated mRNA decay pathway complex,Sensitivity to aminoacid analogs and other drugs,8,False,False,False,False,True,False,False,False,True,False,True,False,False,cytoplasm,1,0,1,0,0.111792809
G235680,Non-Essential,?,Transcription complexes/Transcriptosome,?,13,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,2,0,2,0,0.5426402525
G234371,Non-Essential,Proteases,?,Nucleic acid metabolism defects,5,False,False,False,False,True,False,False,False,False,True,False,True,False,cytoplasm,1,1,0,0,0.823773738
G234406,?,Transcription factors,?,?,6,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,0,1,0.157591681
G235479,Non-Essential,?,Transcription complexes/Transcriptosome,"Auxotrophies carbon and",8,False,False,False,False,True,False,False,False,True,False,False,True,False,cytoplasm,1,1,0,0,0.236143912
G235099,Non-Essential,?,Intracellular transport complexes,?,1,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,3,2,0,1,0.5402816446666666
G235407,Non-Essential,?,Gim complexes,Cell morphology and organelle mutants,7,True,False,True,False,True,False,False,False,False,True,False,False,False,cytoplasm,6,2,3,1,0.5997080148333334
G235972,Non-Essential,?,?,Conditional phenotypes,7,False,False,False,False,True,False,False,False,False,False,False,True,False,cytoplasm,1,0,0,1,0.57150429
G235265,Essential,?,RNA processing complexes,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,5,0,5,0,0.5102770022
G235477,Essential,?,?,Cell cycle defects,8,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,3,0,2,1,0.5594657363333333
G239882,Non-Essential,?,?,"Auxotrophies carbon and",8,False,False,False,False,True,False,False,False,False,False,True,False,False,mitochondria,0,0,0,0,None
G235578,Non-Essential,?,Respiration chain complexes,?,11,False,False,False,False,True,False,True,False,False,False,False,False,False,mitochondria,1,0,1,0,0.230581434
G235610,Essential,?,?,?,12,False,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,2,1,1,0,0.460852381
G234538,?,Major facilitator superfamily proteins (MFS),?,?,9,True,False,False,True,True,False,False,False,False,False,False,False,False,plasma membrane,1,0,1,0,0.603754292
G235796,Essential,?,Mitochondrial translocase complex,?,14,False,False,False,False,True,True,False,False,False,True,False,False,True,mitochondria,2,0,2,0,0.632656896
G235214,?,?,Replication complexes,Unknown,4,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G234878,Non-Essential,Proteases,?,Sensitivity to aminoacid analogs and other drugs,14,True,False,False,False,True,False,False,False,False,True,False,False,False,golgi,0,0,0,0,None
G235697,Non-Essential,?,Nuclear pore complex (NPC),Cell morphology and organelle mutants,13,False,False,False,False,True,True,False,False,False,False,False,True,False,nucleus,5,3,2,0,0.7173312646
G238014,Non-Essential,?,?,Unknown,1,False,False,True,False,True,False,True,False,True,False,False,False,False,peroxisome,0,0,0,0,None
G239673,Non-Essential,?,?,Cell cycle defects,7,True,False,False,False,True,False,False,False,True,False,False,True,False,cytoplasm,8,4,4,0,0.5472851146250001
G239965,Non-Essential,?,?,?,4,False,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,2,0,2,0,0.3809412125
G234554,Essential,Other kinases,?,Cell morphology and organelle mutants,9,False,True,False,True,True,False,False,False,True,False,False,False,False,plasma membrane,1,1,0,0,0.287834569
G235419,Essential,?,Kinetochore protein complexes,Conditional phenotypes,7,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.067101314
G237213,Non-Essential,?,?,Cell morphology and organelle mutants,12,True,False,False,True,True,False,False,False,False,False,False,False,False,cytoskeleton,4,2,2,0,0.36343566850000003
G234185,Non-Essential,Polymerases,Cyclin-CDK (Cyclin-dependent kinases) complexes,Sensitivity to aminoacid analogs and other drugs,3,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.478546544
G234369,Essential,GTP/GDP dissociation inhibitors (GDIs),?,?,5,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,1,0,1,0,0.432263371
G238136,Essential,?,?,Conditional phenotypes,13,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G235442,Essential,?,Transcription complexes/Transcriptosome,Conditional phenotypes,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,1,2,0,0.5338951186666666
G235687,Non-Essential,?,Gim complexes,Cell morphology and organelle mutants,13,False,False,True,False,True,False,False,False,False,True,False,False,False,cytoplasm,5,0,4,1,None
G234563,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,Stress response defects,9,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.522501665
G235142,Essential,?,Transcription complexes/Transcriptosome,Cell morphology and organelle mutants,2,False,False,True,False,True,False,False,False,False,False,False,True,False,nucleus,2,1,1,0,0.2608253015
G235619,Essential,?,Replication complexes,Nucleic acid metabolism defects,12,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,4,2,1,1,0.518141634
G235345,Essential,?,Proteasome,Conditional phenotypes,6,False,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,0,0,0,0,None
G235137,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,1,3,0,0.38447250074999995
G235998,Non-Essential,?,?,?,2,False,False,False,False,True,False,False,False,True,False,False,False,False,mitochondria,0,0,0,0,None
G234973,Essential,Molecular chaperones,Translocon,Conditional phenotypes,15,False,False,False,False,True,True,False,False,False,True,False,False,True,ER,1,1,0,0,0.911509699
G239101,Non-Essential,?,?,?,11,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,0,1,0,None
G238033,Essential,?,?,Conditional phenotypes,3,False,False,False,False,True,False,False,False,True,True,False,False,False,ER,2,2,0,0,0.47974918850000003
G235243,Non-Essential,?,Transcription complexes/Transcriptosome,"Auxotrophies carbon and",4,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,5,5,0,0,0.2082673436
G238498,Essential,?,?,?,14,False,False,False,False,True,False,False,False,True,False,False,False,False,ER,1,0,1,0,0.329997737
G235819,Non-Essential,?,Transcription complexes/Transcriptosome,Cell cycle defects,15,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.955675241
G237203,Non-Essential,?,?,?,9,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,3,1,2,0,0.18632132266666668
G234170,Non-Essential,Transcription factors,RNA processing complexes,?,3,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235279,Essential,?,Transcription complexes/Transcriptosome,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.619463643
G235810,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,15,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,3,0,3,0,0.5164868539999999
G235229,Essential,?,Replication complexes,Cell cycle defects,4,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,3,0,1,2,0.5932966286666667
G236194,Non-Essential,?,?,Conditional phenotypes,9,False,True,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234603,Non-Essential,Adaptins,Intracellular transport complexes,?,10,False,False,False,False,True,True,False,False,False,True,False,False,False,transport vesicles,0,0,0,0,None
G235474,Non-Essential,?,Kel1p/Kel2p complex,Cell morphology and organelle mutants,8,True,False,False,True,True,False,False,False,False,False,False,False,False,cytoplasm,5,3,2,0,0.2421488122
G234359,Non-Essential,Ubiquitin-system proteins,?,?,5,True,False,False,False,True,False,False,False,False,True,False,False,False,ER,1,0,1,0,0.154090021
G235632,Non-Essential,?,Gim complexes,Unknown,12,False,False,True,False,True,False,False,False,False,True,False,False,False,cytoplasm,10,6,3,1,0.5870611305
G235204,Non-Essential,?,Prenyltransferases,Conditional phenotypes,4,False,False,False,True,True,False,False,False,True,True,False,False,False,cytoplasm,1,0,1,0,0.852406685
G234516,Non-Essential,Major facilitator superfamily proteins (MFS),?,?,8,False,False,False,False,True,True,False,False,True,False,False,False,True,plasma membrane,1,1,0,0,0.170731427
G234652,Non-Essential,Protein Kinases,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,11,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G239266,Essential,?,?,?,12,False,False,False,False,True,True,False,False,False,True,False,False,False,cytoplasm,6,0,6,0,0.7381366436666666
G235448,Non-Essential,?,Intracellular transport complexes,Conditional phenotypes,8,False,False,False,False,True,True,False,False,False,True,False,False,False,golgi,1,0,1,0,0.816461114
G236084,Non-Essential,?,?,Conditional phenotypes,10,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234123,Non-Essential,Ubiquitin-system proteins,?,Stress response defects,2,True,True,False,False,True,True,False,False,False,True,False,False,False,cytoplasm,1,1,0,0,0.670313426
G235086,Essential,Polymerases,Transcription complexes/Transcriptosome,Conditional phenotypes,16,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,1,1,0.871786663
G237140,Non-Essential,?,?,?,10,False,False,False,False,False,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234109,Non-Essential,Major facilitator superfamily proteins (MFS),?,Nucleic acid metabolism defects,2,False,False,False,False,True,True,False,False,True,False,False,False,True,plasma membrane,1,1,0,0,0.728804229
G235603,Non-Essential,?,Respiration chain complexes,"Auxotrophies carbon and",12,False,False,False,False,True,False,True,False,False,False,False,False,False,mitochondria,1,0,1,0,0.240096327
G235234,Non-Essential,?,Assembly complexes,Cell morphology and organelle mutants,4,False,False,False,False,True,False,False,False,False,True,False,False,False,vacuole,1,0,1,0,0.635254071
G235495,Non-Essential,?,Synaptonemal complex (SC),Nucleic acid metabolism defects,9,True,False,True,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.701719773
G235573,Non-Essential,?,Transcription complexes/Transcriptosome,"Auxotrophies carbon and",11,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,0,3,0,0.5199865756666666
G238061,?,?,?,Conditional phenotypes,7,True,False,False,False,True,True,False,False,False,False,False,False,False,plasma membrane,5,3,1,1,0.5628930700000001
G235383,Non-Essential,?,Translation complexes,Conditional phenotypes,7,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,1,0,0.863260823
G235011,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies carbon and",16,False,False,False,False,True,True,True,True,False,False,False,False,True,mitochondria,1,0,1,0,0.829890457
G238238,Non-Essential,?,?,Conditional phenotypes,13,False,False,False,False,True,True,False,False,False,True,False,False,False,cytoplasm,1,1,0,0,0.236143912
G238640,Non-Essential,?,?,?,4,False,False,False,False,True,False,False,False,False,True,False,False,False,cytoskeleton,3,1,2,0,0.6169155056666668
G235749,Essential,?,Translation complexes,?,13,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,5,0,5,0,0.9397396647999999
G234177,Non-Essential,GTP/GDP-exchange factors (GEFs),?,Cell morphology and organelle mutants,3,True,False,False,False,True,False,False,False,False,False,False,False,False,plasma membrane,1,1,0,0,0.640446828
G235827,Essential,?,Intracellular transport complexes,Mating and sporulation defects,15,True,False,False,False,True,True,False,False,False,False,False,False,False,ER,2,0,2,0,0.7604113965
G235014,Non-Essential,Transcription factors,?,Sensitivity to aminoacid analogs and other drugs,16,False,False,False,True,True,False,False,False,False,False,False,True,False,nucleus,2,1,1,0,0.630455939
G234604,Essential,Polymerases,Replication complexes,Cell cycle defects,10,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G239832,Non-Essential,?,?,Stress response defects,15,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G238510,Essential,?,?,Conditional phenotypes,5,False,False,False,False,False,False,False,False,False,False,False,True,False,nucleus,3,2,1,0,0.3156871766666667
G235131,Non-Essential,?,Histone acetyltransferase complexes,Mating and sporulation defects,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,12,3,9,0,0.4763843901666667
G240065,Non-Essential,?,?,Conditional phenotypes,2,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,8,0,8,0,0.6376980742499999
G234854,Non-Essential,Molecular chaperones,?,Cell morphology and organelle mutants,14,True,True,False,False,True,True,False,False,False,True,False,False,False,ER,4,2,2,0,0.6935774312499999
G235464,Essential,?,RNA processing complexes,Nucleic acid metabolism defects,8,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235332,Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,5,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,6,0,5,1,0.42667936949999996
G238895,Non-Essential,?,?,?,12,False,False,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G236081,Non-Essential,?,?,Conditional phenotypes,10,True,False,False,False,True,False,False,False,True,False,False,False,False,extracellular,0,0,0,0,None
G234458,Non-Essential,Polymerases,Transcription complexes/Transcriptosome,Conditional phenotypes,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.083439331
G236576,Non-Essential,?,?,?,9,False,False,True,False,False,False,False,False,False,False,False,False,False,mitochondria,2,0,2,0,0.317946182
G234894,Essential,Polymerases,Transcription complexes/Transcriptosome,Cell morphology and organelle mutants,14,False,False,True,False,True,False,False,False,False,False,False,True,False,nucleus,3,0,3,0,0.6487404996666667
G234659,Non-Essential,Protein Kinases,cAMP-dependent protein kinase,?,11,False,False,False,True,True,False,False,False,False,False,False,True,False,cytoplasm,4,1,2,1,0.45220762225
G239017,?,?,?,?,9,False,False,False,False,False,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.285031304
G235759,Non-Essential,?,Mitochondrial translocase complex,?,14,False,False,False,False,True,True,False,False,False,True,False,False,True,mitochondria,5,2,2,1,0.46974961979999996
G235133,Essential,?,Replication complexes,Nucleic acid metabolism defects,2,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,1,0,1,0.5209677515
G235580,Non-Essential,?,Respiration chain complexes,"Auxotrophies carbon and",11,False,False,False,False,True,False,True,False,True,False,False,False,False,mitochondria,1,0,1,0,0.342639674
G235129,Essential,?,Replication complexes,Unknown,2,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,5,5,0,0,0.3790606138
G236462,?,?,?,?,12,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.025407772
G238172,Non-Essential,?,?,?,4,False,False,False,False,True,False,False,False,True,False,False,False,False,lipid particles,0,0,0,0,None
G235381,Essential,?,Nuclear pore complex (NPC),?,7,False,False,False,False,True,True,False,False,False,False,False,True,False,nucleus,3,0,3,0,0.2423385326666667
G236244,Non-Essential,?,?,?,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G238789,Non-Essential,?,?,Nucleic acid metabolism defects,7,True,False,False,False,False,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G237120,Non-Essential,?,?,?,8,False,False,False,False,True,True,False,False,False,True,False,False,False,plasma membrane,1,0,1,0,0.748497753
G234910,Non-Essential,Nucleases,RNA processing complexes,Conditional phenotypes,15,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234341,Essential,Polymerases,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,5,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,1,3,0,0.5503975585
G237134,Non-Essential,?,?,Stress response defects,4,False,False,False,True,True,False,False,False,False,True,False,False,False,ER,0,0,0,0,None
G234413,Non-Essential,Protein Kinases,Casein kinase,?,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,0,2,2,0.21396096025
G234636,Essential,Polymerases,Replication complexes,Mating and sporulation defects,11,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.362514673
G237702,?,?,?,?,4,False,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,0,0,0,0,None
G235200,Non-Essential,?,Assembly complexes,Cell morphology and organelle mutants,4,False,False,False,False,True,False,False,False,False,True,False,False,False,vacuole,1,0,1,0,0.635254071
G236268,Non-Essential,?,?,?,15,False,False,False,False,True,False,False,False,True,False,False,False,False,mitochondria,0,0,0,0,None
G234290,Non-Essential,ATPases,Respiration chain complexes,Conditional phenotypes,4,False,False,False,False,True,True,True,False,False,True,False,False,True,mitochondria,1,0,1,0,None
G235558,Non-Essential,?,Cytoskeleton,Cell morphology and organelle mutants,11,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,1,1,0,0,0.136246545
G235135,Essential,?,Mitochondrial translocase complex,Cell morphology and organelle mutants,2,False,False,True,False,True,True,False,False,False,True,False,False,False,mitochondria,3,3,0,0,0.185716314
G234953,Essential,Polymerases,Transcription complexes/Transcriptosome,?,15,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,1,1,0,0.894618433
G235259,Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,4,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,0,0,0,0,None
G235754,Essential,?,Transcription complexes/Transcriptosome,?,14,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.051075603
G235817,Essential,?,Translation complexes,Mating and sporulation defects,15,True,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,2,0,1,1,0.7123477345
G235447,Non-Essential,?,Transcription complexes/Transcriptosome,?,8,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.800386108
G235930,Essential,?,RNA processing complexes,Conditional phenotypes,16,False,False,False,False,True,False,False,False,False,True,False,True,False,nucleus,4,2,1,1,0.5514999997500001
G235634,Essential,?,Nuclear pore complex (NPC),Cell morphology and organelle mutants,12,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,1,1,0,0,0.855567377
G239098,Non-Essential,?,?,?,14,False,False,False,False,True,False,True,False,True,False,False,False,False,peroxisome,1,1,0,0,0.743642508
G235899,Essential,?,"Fatty acid synthetase cytoplasmic",?,16,False,False,False,False,True,False,False,False,True,True,False,False,False,cytoplasm,1,1,0,0,0.21443642
G239438,Non-Essential,?,?,Mating and sporulation defects,3,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235379,?,?,L-aminopadipate-semialdehyde dehydrogenase,?,7,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,2,0,2,0,0.7942602965000001
G238610,Essential,?,?,?,1,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,1,0,1,0,None
G234955,Essential,Proteases,Proteasome,Conditional phenotypes,15,False,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,1,1,0,0,0.391697051
G235716,Essential,?,Translocon,?,13,False,False,False,False,True,False,False,False,True,True,False,False,False,ER,1,0,1,0,0.7451413
G234934,Non-Essential,Transcription factors,?,Cell cycle defects,15,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.8135837895
G237916,Essential,?,?,?,8,False,False,False,False,False,False,False,False,False,False,False,True,False,cytoplasm,2,2,0,0,0.831999555
G234235,Non-Essential,Transcription factors,?,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.144153036
G239782,Non-Essential,?,?,Conditional phenotypes,16,False,False,False,False,False,False,False,False,False,True,False,True,False,nucleus,0,0,0,0,None
G234737,Non-Essential,Other kinases,Unknown,Conditional phenotypes,12,False,False,False,True,True,True,False,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G234330,Essential,ATPases,Replication complexes,Nucleic acid metabolism defects,5,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,3,1,1,1,0.7872874740000001
G235737,?,?,Translation complexes,?,13,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G235187,Essential,?,RNA processing complexes,Conditional phenotypes,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,1,1,1,0.9341403389999999
G235075,Non-Essential,Polymerases,?,Cell morphology and organelle mutants,16,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G235408,Non-Essential,?,Mitochondrial translocase complex,"Auxotrophies carbon and",7,False,False,False,False,True,True,False,False,False,True,False,False,True,mitochondria,1,0,0,1,0.38663859
G236176,Essential,?,?,?,11,False,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G238540,Non-Essential,?,?,?,7,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.866809506
G235228,Non-Essential,?,Translation complexes,Conditional phenotypes,4,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,1,0,0,0.938906005
